Timestamp,Gender,How old are you ?,Do you take night time showers or day time showers ?,On average how many minutes did you spend in the shower ?
4/5/2024 10:35:09,Male,20,Day Time showers,15
4/5/2024 10:35:12,Female,21,Day Time showers,25
4/5/2024 10:37:49,Female,19,Night Time showers,15
4/5/2024 10:39:38,Male,20,Day Time showers,25
4/5/2024 10:52:45,Male,19,Night Time showers,15
4/5/2024 10:54:00,Female,19,Day Time showers,12
4/5/2024 11:12:28,Female,19,Night Time showers,20
4/5/2024 11:12:49,Female,19,Day Time showers,20
4/5/2024 11:32:21,Male,20,Day Time showers,17
4/5/2024 11:34:32,Female,20,Day Time showers,25
4/5/2024 14:15:32,Male,19,Day Time showers,10
4/5/2024 14:45:54,Female,22,Day Time showers,30
4/5/2024 16:25:35,Male,20,Night Time showers,10
4/5/2024 16:42:51,Male,19,Night Time showers,25
4/5/2024 17:34:42,Male,19,Night Time showers,20
4/5/2024 19:07:37,Male,20,Night Time showers,10
4/5/2024 19:24:01,Female,18,Night Time showers,60
4/5/2024 19:31:39,Female,19,Night Time showers,20
4/5/2024 19:49:39,Female,18,Day Time showers,15
4/5/2024 19:56:32,Male,18,Night Time showers,20
4/5/2024 21:07:41,Male,21,Day Time showers,15
4/8/2024 9:31:18,Female,28,Night Time showers,30
4/8/2024 9:33:16,Male,21,Night Time showers,15
4/8/2024 9:33:55,Female,18,Night Time showers,30
4/8/2024 9:34:08,Female,18,Day Time showers,60
4/8/2024 9:35:17,Female,18,Night Time showers,15
4/8/2024 9:52:10,Male,21,Night Time showers,30
4/8/2024 10:24:26,Male,20,Night Time showers,10
4/8/2024 10:46:58,Male,27,Day Time showers,10
4/8/2024 10:50:05,Male,27,Night Time showers,7
4/8/2024 11:07:57,Male,20,Day Time showers,20
4/8/2024 11:15:32,Female,25,Night Time showers,30
4/8/2024 11:33:06,Male,20,Night Time showers,10
4/8/2024 11:33:39,Male,20,Day Time showers,15
4/8/2024 11:34:10,Female,18,Night Time showers,10
4/8/2024 11:34:39,Male,19,Day Time showers,20
4/8/2024 11:34:57,Male,18,Night Time showers,20
4/8/2024 11:35:00,Female,17,Night Time showers,25
4/8/2024 11:35:07,Female,16,Night Time showers,30
4/8/2024 11:35:11,Female,19,Night Time showers,15
4/8/2024 11:35:11,Female,25,Night Time showers,40
4/8/2024 11:35:23,Female,18,Night Time showers,20
4/8/2024 11:35:53,Female,18,Night Time showers,30
4/8/2024 11:36:21,Female,18,Night Time showers,25
4/8/2024 11:37:07,Male,21,Night Time showers,15
4/8/2024 11:37:23,Female,19,Night Time showers,45
4/8/2024 11:37:43,Female,19,Night Time showers,20
4/8/2024 11:37:50,Female,27,Night Time showers,40
4/8/2024 11:37:54,Female,19,Day Time showers,30
4/8/2024 11:38:09,Female,21,Night Time showers,45
4/8/2024 11:40:01,Male,19,Night Time showers,15
4/8/2024 11:42:57,Male,20,Day Time showers,20
4/8/2024 11:44:51,Male,22,Night Time showers,15
4/8/2024 11:45:02,Male,33,Day Time showers,15
4/8/2024 11:45:02,Female,19,Night Time showers,20
4/8/2024 11:45:04,Male,18,Night Time showers,15
4/8/2024 11:46:06,Female,19,Day Time showers,12
4/8/2024 11:46:09,Male,24,Day Time showers,10
4/8/2024 11:51:04,Male,24,Night Time showers,15
4/8/2024 11:52:34,Male,22,Night Time showers,15
4/8/2024 11:52:41,Male,22,Day Time showers,10
4/8/2024 11:52:48,Female,20,Day Time showers,30
4/8/2024 11:53:28,Female,18,Day Time showers,40
4/8/2024 11:53:44,Female,19,Night Time showers,30
4/8/2024 11:54:14,Female,19,Night Time showers,60
4/8/2024 12:25:25,Male,32,Day Time showers,20
4/8/2024 12:41:49,Male,28,Day Time showers,6
4/8/2024 14:20:57,Female,62,Day Time showers,10
4/8/2024 15:14:27,Female,18,Night Time showers,60
4/8/2024 20:54:04,Male,19,Day Time showers,10
4/9/2024 10:09:37,Male,12,Day Time showers,15
4/9/2024 10:37:34,Male,20,Day Time showers,30
4/9/2024 14:11:57,Male,25,Day Time showers,5
4/9/2024 21:43:11,Male,19,Day Time showers,30
4/9/2024 23:51:11,Female,17,Night Time showers,25
4/10/2024 8:18:57,Female,35,Day Time showers,20
4/10/2024 8:27:48,Female,52,Day Time showers,15
4/10/2024 8:54:49,Female,21,Day Time showers,20
4/10/2024 8:55:55,Female,17,Day Time showers,30
4/10/2024 9:40:32,Female,30,Day Time showers,15
4/10/2024 10:02:09,Male,20,Day Time showers,7
4/10/2024 10:02:43,Female,18,Night Time showers,30
4/10/2024 10:03:08,Male,24,Night Time showers,12
4/10/2024 10:03:28,Male,18,Day Time showers,15
4/10/2024 10:03:44,Female,26,Night Time showers,30
4/10/2024 10:03:49,Male,21,Day Time showers,15
4/10/2024 10:04:21,Female,23,Night Time showers,60
4/10/2024 10:09:01,Male,19,Night Time showers,15
4/10/2024 10:09:47,Male,44,Day Time showers,20
4/10/2024 10:18:44,Male,15,Day Time showers,12
4/10/2024 10:18:53,Male,21,Night Time showers,12
4/10/2024 10:20:35,Male,23,Day Time showers,5
4/10/2024 10:43:06,Male,19,Day Time showers,15
4/10/2024 10:49:18,Male,35,Night Time showers,15
